,pre,pre.1,post,sp_trans_p,treatment
0,51,51,329,0.0017794379192172,a5ia
1,200,200,335,0.010049036313677,a5ia
2,212,212,319,0.0023537553903637,a5ia
3,217,217,307,6.990724731103029e-05,a5ia
4,319,319,347,0.0034706712078255,a5ia
5,1,1,71,0.0003853671523901,ctr
6,3,3,5,0.0009032204364141,ctr
7,3,3,32,9.04107367979759e-05,ctr
8,3,3,341,0.0011754601867636,ctr
9,4,4,217,0.0011947747328764,ctr
10,5,5,313,0.0032374888931596,ctr
11,17,17,40,0.0159528796140038,ctr
12,17,17,51,0.0032938849366239,ctr
13,17,17,309,0.0133494524470127,ctr
14,32,32,39,0.0014071371642496,ctr
15,32,32,51,0.0013689029347763,ctr
16,32,32,307,0.0002582253420072,ctr
17,32,32,309,0.0039870743261232,ctr
18,32,32,315,0.0005228988263573,ctr
19,35,35,200,0.0016643620091318,ctr
20,39,39,83,0.0010737452221337,ctr
21,39,39,90,0.0023227500422589,ctr
22,39,39,105,0.0003792049107923,ctr
23,39,39,314,8.2634530546348e-05,ctr
24,39,39,321,0.0028920723560411,ctr
25,40,40,90,0.0005462008609345,ctr
26,40,40,251,0.0030932695636689,ctr
27,60,60,80,0.000241659203973,ctr
28,60,60,105,0.0039193279818887,ctr
29,60,60,321,0.0012374100344973,ctr
30,71,71,90,0.0017746880129991,ctr
31,71,71,136,0.0023266446861495,ctr
32,71,71,313,0.0003789939633909,ctr
33,83,83,251,0.0070989023315783,ctr
34,87,87,208,0.0016966415840847,ctr
35,87,87,251,0.0014605297237105,ctr
36,90,90,248,0.0019712617086531,ctr
37,90,90,309,0.0052057094053036,ctr
38,90,90,315,0.0010401728479672,ctr
39,90,90,320,0.001718752310029,ctr
40,105,105,326,0.012765149153926,ctr
41,136,136,321,9.737032767358211e-05,ctr
42,150,150,208,7.233473941992835e-05,ctr
43,150,150,309,0.0010720785558987,ctr
44,166,166,180,0.0067197663115205,ctr
45,166,166,335,0.0006241465647972,ctr
46,174,174,245,0.0051945168053729,ctr
47,200,200,320,0.008640135187022,ctr
48,211,211,251,0.0021608980256729,ctr
49,211,211,314,0.0003344986526858,ctr
50,239,239,251,0.0005299681806443,ctr
51,245,245,315,0.0044610463874426,ctr
52,248,248,307,0.0006698039282168,ctr
53,248,248,326,0.0010428069172637,ctr
54,263,263,315,0.0050497974879114,ctr
55,319,319,321,0.0001992217624277,ctr
56,320,320,322,0.0053962075304236,ctr
