,pre,pre.1,post,sp_trans_p,treatment
0,3,3,44,0.0009140692374187,a5ia
1,3,3,68,0.0015279278133201,a5ia
2,3,3,411,0.0043659862535295,a5ia
3,3,3,501,8.24850295647675e-05,a5ia
4,9,9,24,0.0030350551846668,a5ia
5,9,9,27,5.032136345765881e-05,a5ia
6,9,9,303,0.0008116071334934,a5ia
7,9,9,398,6.154626738606381e-05,a5ia
8,9,9,401,8.014915829574268e-05,a5ia
9,9,9,548,0.0002546549774451,a5ia
10,10,10,163,0.0008913509972966,a5ia
11,10,10,548,0.0005887506364797,a5ia
12,10,10,567,0.0007552045941087,a5ia
13,10,10,603,0.0022215949036386,a5ia
14,12,12,29,0.003019314402367,a5ia
15,12,12,288,0.0015198600472638,a5ia
16,12,12,303,0.000995799264361,a5ia
17,12,12,322,0.0005494511808545,a5ia
18,12,12,454,0.0053803311125107,a5ia
19,12,12,463,0.0004736549353575,a5ia
20,12,12,487,0.0010486413485729,a5ia
21,16,16,444,0.007839437939111,a5ia
22,16,16,556,7.411276727670862e-05,a5ia
23,16,16,567,0.001830358832598,a5ia
24,16,16,572,0.0039297940445295,a5ia
25,17,17,34,0.0010263880231069,a5ia
26,17,17,123,0.0011589246006257,a5ia
27,17,17,603,6.58891993421673e-05,a5ia
28,24,24,206,0.0008304063532293,a5ia
29,24,24,319,0.0004593997297947,a5ia
30,24,24,415,0.0007237635901573,a5ia
31,24,24,572,0.0032888784583274,a5ia
32,24,24,598,0.0018700395276678,a5ia
33,27,27,44,0.0006221947239647,a5ia
34,27,27,398,0.0011857005012766,a5ia
35,27,27,556,0.0033432741879394,a5ia
36,29,29,109,0.0020650227162328,a5ia
37,29,29,157,0.0063031521509955,a5ia
38,29,29,202,0.0009326455318126,a5ia
39,29,29,210,8.809036070279302e-05,a5ia
40,29,29,367,0.0006292687314333,a5ia
41,29,29,434,0.0004941413309862,a5ia
42,34,34,44,0.0002589770913435,a5ia
43,34,34,282,0.0018667154098787,a5ia
44,34,34,285,0.003713287941458,a5ia
45,34,34,463,0.0002974268030294,a5ia
46,37,37,316,0.0001542223014682,a5ia
47,37,37,505,0.0011986442992012,a5ia
48,40,40,82,0.0011104054691648,a5ia
49,40,40,293,0.0007632500031261,a5ia
50,40,40,570,0.0005480637047956,a5ia
51,41,41,88,0.0008672210480311,a5ia
52,41,41,298,0.0058827404448033,a5ia
53,41,41,556,0.0024090993659219,a5ia
54,44,44,65,0.0037986203582923,a5ia
55,44,44,151,0.0007645324054967,a5ia
56,44,44,157,0.0011425658191281,a5ia
57,44,44,163,0.0077315064045403,a5ia
58,44,44,300,9.10315644016592e-05,a5ia
59,44,44,379,-0.0001467615259966,a5ia
60,44,44,566,0.0033848630247892,a5ia
61,52,52,59,0.0019819588057459,a5ia
62,52,52,68,0.0060550546786293,a5ia
63,52,52,379,0.00559308908869,a5ia
64,52,52,463,0.000180699333171,a5ia
65,52,52,484,0.0035883690223985,a5ia
66,54,54,437,0.0039913602271359,a5ia
67,54,54,446,0.0006099479228449,a5ia
68,58,58,460,0.0005653800408466,a5ia
69,59,59,99,0.0005738214908209,a5ia
70,59,59,429,0.0007209674106126,a5ia
